Cruise,Date,Area,StationID,CTD,Depth,ID_sample,Latitude,Longitude,Pot_temperature,Salinity,Fluorescence_Chla,Fluoresence_fDOM,PAR,NO3,NO3_NO2,SiO2,NO2 ,PO4,DOC,TDN,DON,Chla_ugL,BIX,b,t,a,m,c,FI,HIX,B_A,a254,a300,a350,E2_E3 ,E4_E6,S275_295,S350_400,S300_700,SR ,SUVA254,PARAFAC1,PARAFAC2,PARAFAC3,PARAFAC4,r_parafac1,r_parafac2,r_parafac3,r_parafac4
Augmentum01,2025-08-16T08:52:00,Sermilik,1,1,1,St1_1,65.93,-37.80258333,0.02,22.941,0.43,1.99,86.82,0.106,0.12,2.644,0.014,0.039,67.04,5.63,5.51,0.43,0.93518172,0.076783538,0.053946089,0.1411843,0.067754295,0.060167208,1.659734695,0.780819425,0.47989964,1.937651392,0.741825275,0.38937893,5.568090215,16.95348563,0.027915901,0.020419396,0.014204273,1.367126692,3.47101474,0.117619628,0.025389746,0.060443385,0.085479847,0.407083263,0.087874284,0.209195445,0.295847008
Augmentum01,2025-08-16T08:52:00,Sermilik,1,1,15,St1_15,65.93,-37.80258333,2.22,30.237,0.69,2.958,10.768,0.2106,0.228,0.599,0.0174,0.245,82.94,5.65,5.43,0.69,0.733218932,0.07588655,0.070166797,0.290580563,0.145145362,0.115869151,1.284665315,0.860335761,0.499501276,2.813779006,0.97749954,0.407366521,8.986317967,3.473775907,0.028875669,0.025504954,0.019740929,1.132159202,4.074462039,0.25588798,0.051088698,0.081506538,0.108798544,0.514573428,0.102735918,0.163904138,0.218786517
Augmentum01,2025-08-16T08:52:00,Sermilik,1,1,45,St1_45,65.93,-37.80258333,0.26,31.841,0.13,2.72,0.597,7.1389,7.216,6.547,0.0771,0.638,136.37,22.23,15.01,0.13,0.73026049,0.102187088,0.069320642,0.237430756,0.135096414,0.106085142,1.563487897,0.810590375,0.568992898,2.805161082,1.271332691,0.74436161,2.756634433,2.233704408,0.021513376,0.014518419,0.010364838,1.481798828,2.470470695,0.215642068,0.050892889,0.078546274,0.099891293,0.484618839,0.114373105,0.17651938,0.224488677
Augmentum01,2025-08-16T14:35:00,Sermilik,2,2,1,St2_1,65.84783333,-37.90266667,0.06,24.38,0.32,1.962,78.001,0.0922,0.104,4.114,0.0118,0.026,73.68,10.25,10.15,0.32,0.709954816,0.038751076,0,0.102569922,0.041412809,0.057583624,1.816794274,0.932478658,0.403751979,1.54690676,0.774696749,0.251240494,5.218474113,0.760068974,0.021408699,0.009576635,0.016383045,2.235513873,2.521408564,0.063836161,0.039186761,0.211972261,0.060971628,0.169792011,0.104229309,0.56380578,0.1621729
Augmentum01,2025-08-16T14:35:00,Sermilik,2,2,15,St2_15,65.84783333,-37.90266667,2.05,30.142,0.89,2.725,8.347,0.1269,0.142,0.539,0.0151,0.202,119.68,15.21,15.07,0.89,0.992117354,0.028600505,0.018703885,0.284158021,0.185836868,0.219030048,1.826921755,0.960529379,0.65399128,3.328951163,1.730757143,0.898642864,4.01333593,1.267742692,0.018842799,0.006329103,0.008372265,2.977167657,3.340741096,0.239154814,0.149045759,0.233729344,0.129738782,0.318165189,0.198286505,0.310947289,0.172601017
Augmentum01,2025-08-16T14:35:00,Sermilik,2,2,45,St2_45,65.84783333,-37.90266667,0.24,31.645,0.21,2.874,0.35,5.2008,5.279,5.175,0.0782,0.549,121.37,20.04,14.77,0.21,0.738001555,0.015894929,0,0.236896977,0.165724267,0.127698019,1.231408083,0.988333383,0.699562609,2.310428914,0.917504735,0.360529394,3.258798115,0.926041063,0.02311435,0,0.01451615,NA,2.286239485,0.200626048,0.065532156,0.113647138,0.071387862,0.444656627,0.145241895,0.251881316,0.158220162
Augmentum01,2025-08-17T08:34:00,Sermilik,3,3,1,St3_1,65.79116667,-37.9415,1.58,24.499,0.27,2.113,85.029,0.1031,0.118,2.647,0.0149,0.071,50.93,3.41,3.29,0.27,0.618614901,0,0,0.089665531,0.035952324,0.040973683,0.601039369,0.997954392,0.400960361,3.626197756,1.896059053,1.378782262,2.332960778,1.247237463,0.012161141,0.004242417,0.004441571,2.866559836,8.55056418,0.047144014,0.026342953,0.154057264,0.047556047,0.171370288,0.095757639,0.560004029,0.172868044
Augmentum01,2025-08-17T08:34:00,Sermilik,3,3,15,St3_15,65.79116667,-37.9415,3.01,30.057,0.51,2.783,25.307,0.1621,0.181,0.58,0.0189,0.263,78.78,5.32,5.14,0.51,0.623426044,0.02636842,0.023168018,0.307177559,0.146471336,0.124052325,1.353717933,0.958374527,0.476829548,3.163569268,1.222694954,0.473438426,7.600708518,1.156063452,0.025791111,0.018315567,0.018047887,1.408152488,4.823066983,0.245459002,0.063226976,0.177888778,0.098075362,0.419839139,0.108144981,0.304265359,0.167750521
Augmentum01,2025-08-17T08:34:00,Sermilik,3,3,45,St3_45,65.79116667,-37.9415,0.71,31.318,0.28,2.917,1.479,3.6139,3.681,3.855,0.0671,0.472,106.89,11.45,7.76,0.28,0.671341738,0.022432865,0.009430113,0.277691592,0.145871747,0.124716173,1.60084728,0.975086813,0.525301274,3.392294446,1.621247251,0.884762647,4.064538543,1.194191267,0.021596709,0.006656427,0.008345521,3.244489849,3.811398353,0.226796779,0.06658427,0.111218781,0.085481558,0.462773704,0.135863699,0.22693941,0.174423188
Augmentum01,2025-08-17T09:57:00,Sermilik,4,4,1,St4_1,65.757,-37.97616667,1.01,25.155,0.28,3.077,90.08,0.1126,0.128,2.275,0.0154,0.078,54.28,3.03,2.91,0.28,0.808447271,0.037289668,0.017997594,0.142913455,0.07257024,0.087180551,1.564783322,0.936274921,0.507791518,1.939179348,0.755602198,0.305044338,6.009655885,0.659550325,0.025705025,0.016066235,0.015377931,1.599940805,4.290736636,0.110732818,0.039913591,0.054625868,0.173104914,0.292651937,0.10548625,0.144368818,0.457492994
Augmentum01,2025-08-17T09:57:00,Sermilik,4,4,15,St4_15,65.757,-37.97616667,2.56,29.788,0.35,2.756,14.434,0.1183,0.137,0.534,0.0187,0.232,91.35,4.47,4.33,0.35,0.719401307,0.015440663,0.010547127,0.197983939,0.091305884,0.083521633,1.851363202,0.973138497,0.461178235,2.482457776,1.035559934,0.437585253,4.99770241,1.720392567,0.024136707,0.010934934,0.013517543,2.207302586,3.263753275,0.150304499,0.045059162,0.050219303,0.061483648,0.489484995,0.146740675,0.163545306,0.200229024
