	01_St1_D1	02_St1_D15	03_St1_D45	04_St2_D1	05_St2_D15	06_St2_D45	07_St3_D1	08_St3_D15	09_St3_D45	10_St4_D1	11_St4_D15	12_St4_D45	13_St5_D1	14_St5_D15	15_St5_D45	16_St6_D1	17_St6_D15	18_St6_D45	19_St7_D1	20_St7_D15	21_St7_D45	22_St8_D1	23_St8_D15	24_St8_D45	25_St9_D1	26_St10_D1	27_St10_D15	28_St10_D45	29_St11_D1	30_St11_D15	31_St11_D45	32_St12_D1	33_St12_D15	34_St12_D45	35_St13_D1	36_St13_D15	37_St13_D45	38_St14_D1	39_St14_D15	40_St14_D45	41_St15_D1	42_St15_D15	43_St15_D45	44_St16_D1	45_St16_D15	46_St16_D45	47_St17_D1	48_St17_D15	49_St17_D45	50_St18_D1	51_St18_D15	52_St18_D45	53_St19_D1	54_St19_D15	55_St19_D45	56_St20_D1	57_St20_D15	58_St20_D45	59_St21_D1	60_St21_D15	61_St21_D45	62_St22_D1	63_St22_D15	64_St22_D45
ASV1	7029	34748	28620	6035	28476	43175	9318	47701	32422	12202	55808	45780	43351	74571	81008	29170	52822	63038	71928	77441	63742	47210	67896	32037	4299	10546	15774	15083	9781	14634	16147	7344	7412	27508	6896	9578	36957	8193	20327	22101	19259	16218	25423	34839	30636	56064	786	1759	877	6833	6391	16715	6589	8770	37617	785	5613	13990	3655	11904	27085	3476	15725	53455
ASV2	16940	26707	19051	14305	32642	9587	13254	15692	12719	20750	28586	35982	13862	15543	12057	11130	16204	18222	14095	13182	14921	15209	16962	15448	42787	22267	19205	21187	17996	20369	18534	14945	18336	22923	13694	17911	23920	12049	15070	14565	7833	4194	4577	11558	8113	11764	60657	40960	67572	5171	46566	28416	9251	44580	33237	16141	40548	23736	24186	25973	22974	873	1772	38509
ASV3	869	14687	48042	523	20272	50617	1536	25707	40121	2459	22279	53888	4970	11656	38156	5292	28810	24090	7193	12943	29677	12393	32088	33557	18537	12677	12545	12974	4707	7794	13809	6385	10320	21178	3119	3522	13895	2026	7027	19755	12153	4470	5238	9680	8541	22947	3011	16485	6680	795	14713	19997	1468	14510	35915	203	22171	22846	3074	10761	12649	313	1443	52301
ASV4	293	1982	1615	450	1333	884	804	2342	1695	656	1739	1286	3981	4408	4535	3674	4739	11230	3957	2991	5097	10333	7062	14242	66220	57802	47209	22545	26442	26354	18400	24542	34813	16121	25313	11084	9419	19728	11877	15234	8975	8795	21746	9511	4439	11180	8071	18320	9856	27146	21849	13812	17454	21434	14248	6335	23536	11400	14094	17638	10592	9743	5692	18532
ASV5	1901	6631	12008	2668	4646	5986	3151	6862	8712	3043	5607	7419	11621	12039	11268	9347	13119	15853	11694	10055	11895	12328	12284	9734	18242	14927	13019	15748	7266	7979	11912	6805	9358	11547	6110	3209	6662	4807	4813	9333	7142	3785	3614	6409	5513	7944	24599	13272	17972	6739	12720	12595	5523	13004	14400	4453	13393	11053	6518	9116	8346	8614	15610	13281
ASV6	5108	11296	12145	3899	11197	4310	7062	14631	6726	6684	11692	5762	13199	12588	6246	13040	14378	11712	14092	9892	4310	12449	10997	5488	8316	5539	5699	4367	5784	5490	2953	4865	7365	5374	7799	7065	5813	8140	9896	7756	6290	2701	3958	14796	10829	3354	506	1881	931	9407	1836	4303	14933	1673	5534	31053	7436	4802	16557	5789	5495	31385	34338	6870
ASV7	1239	10423	10132	951	13826	8738	2498	15950	7918	4122	31671	11161	14925	19140	9513	13840	11570	8490	20794	20708	6839	14472	16455	5068	10488	8573	11617	4541	8876	11794	5263	5225	6527	4890	7977	10340	8632	9953	14560	5523	4616	5589	6585	13981	9534	10434	839	2908	1122	8952	3950	4512	6033	3544	6002	1098	3462	2328	3527	4998	5028	4123	8086	12382
ASV8	286	13013	29082	278	4343	8098	710	6808	11482	872	6278	8708	8317	9344	17040	9998	20008	22534	12547	10550	11299	14555	16524	11556	9732	4986	5044	13601	4986	5798	12870	4766	5878	16306	4864	3140	5265	4196	3848	9684	6393	3118	3454	6377	5882	7248	2698	2684	7592	1569	2246	10519	1050	2082	14316	309	2442	8938	947	2021	6624	12218	29679	4512
ASV9	40312	6695	13354	62123	9063	4835	33031	6450	6318	37612	13965	5536	8433	9798	8190	5487	10262	10466	7572	7725	7038	6304	6197	3758	9104	6147	4883	3651	1604	1615	2756	1735	2796	2423	1741	1342	1700	1327	1446	2201	1646	454	225	2462	1783	1761	797	4008	1346	2360	6364	3290	5751	7184	3409	13843	9972	3156	10870	6830	1947	8492	11336	4329
ASV10	1243	2183	4259	1902	1571	1523	1911	2675	2706	1749	1722	1587	6596	6176	4761	5182	6597	8171	5753	4797	4731	6974	4896	6390	7424	10956	11127	11457	8550	9664	7605	8431	12594	12173	10570	8882	7100	9982	7990	4858	2338	1211	1273	3771	1983	2487	14695	8364	10007	1132	6463	7830	2085	6303	10593	7931	8804	7583	7019	6876	9112	30844	32290	8141
ASV11	486	4490	6571	531	4729	3210	1175	6569	5921	1287	4896	6732	3789	6283	7983	3119	8771	7111	3700	6490	7632	5660	7517	7469	21122	12538	12124	10051	3746	5220	9616	4184	6221	8069	2773	2840	10471	2185	5610	8308	6847	3048	2395	5563	3925	8569	1543	11906	4016	835	10695	9243	1173	10544	14223	288	10825	7871	1580	5709	8381	2532	15361	27182
ASV12	26115	5393	4129	45645	4220	2306	17368	6496	3092	17665	5164	1735	5050	6746	4792	6007	8918	4488	5199	6558	3588	3669	4083	974	5134	3426	3121	722	2255	2738	671	2647	5028	1840	2203	1122	2027	2781	2164	1487	1259	186	27	1903	1766	1035	6466	1981	7398	32096	1023	1326	16680	1292	3297	10756	3181	1123	4832	3558	2571	21745	19986	5419
ASV13	3	3	0	0	2	0	0	0	1	0	0	0	3	3	0	6	0	2	1	0	4	3	5	12	714	5244	3454	282	56209	30315	678	45835	53416	6881	70932	35654	1337	45782	9305	167	60	41	9	6080	490	32	0	0	0	0	0	41	0	1	970	2	22	212	43	708	4085	103	95	193
